,doi,TC,RTC,CPR,RCPR,PR,RPR,MSC,RMSC
406,10.1016/j.joi.2015.07.006,12,230.5,0.163966164,407,2.037887002,348,14,241.5
407,10.1016/j.techfore.2013.12.019,4,1339.5,0.163925469,408,1.511989805,2078,9,507.5
408,10.1103/PhysRevE.64.016132,13,199.5,0.163855717,409,2.191769015,251,15,215
409,10.1002/asi.22896,6,723.5,0.163849667,410,1.956722693,412,7,786
410,10.1287/mksc.1080.0406,3,1999.5,0.163814217,411,1.682354926,967,5,1268.5
411,10.1007/s11192-006-0090-4,16,125.5,0.16378282,412,2.648888721,116,16,190
412,10.1016/j.joi.2018.11.003,12,230.5,0.163770467,413,1.975317086,394,14,241.5
413,10.1016/j.ipm.2008.03.002,5,955.5,0.163756967,414,1.736476454,803,5,1268.5
414,10.1007/s11192-011-0368-z,7,563,0.163744241,415,1.817435283,620,9,507.5
415,10.1016/j.respol.2010.01.012,18,98.5,0.163739145,416,2.423032879,165,22,97.5
416,10.1002/asi.20707,7,563,0.163686633,417,1.812988238,627,9,507.5
417,10.1007/s11192-009-0124-9,3,1999.5,0.163664922,418,1.702692086,885,3,2518
418,10.1007/s11192-005-0239-6,8,449,0.163596928,419,2.219553186,239,9,507.5
419,10.1007/s11192-010-0334-1,6,723.5,0.163566604,420,1.82839195,594,10,428
420,10.1007/BF02289026,11,268,0.163542032,421,1.999845709,379,12,313
421,10.1016/j.joi.2017.05.014,7,563,0.163541824,422,1.708027978,865,12,313
422,10.1371/journal.pone.0001683,9,368,0.163537711,423,1.965610385,405,11,366
423,10.1007/s11192-011-0343-8,11,268,0.16353637,424,2.034455782,353,14,241.5
424,10.1371/journal.pbio.1002541,10,310,0.163535386,425,1.930047397,446,11,366
425,10.1007/s11192-012-0893-4,4,1339.5,0.163487181,426,1.685660072,946,5,1268.5
426,10.1126/science.1212540,8,449,0.163481832,427,1.847104927,562,12,313
427,10.1007/s11192-008-0217-x,6,723.5,0.163470924,428,1.703197068,881,7,786
428,10.1007/s11192-012-0694-9,12,230.5,0.163462803,429,2.088605888,319,13,273
429,10.1023/A:1021919228368,12,230.5,0.163452566,430,1.973112534,400,14,241.5
430,10.1016/j.joi.2013.03.005,6,723.5,0.163441554,431,1.693003637,919,10,428
431,10.1257/jel.51.1.173,3,1999.5,0.163438082,432,1.724377937,824,5,1268.5
432,10.1177/147470490900700301,8,449,0.163430661,433,1.717806681,840,8,625
433,10.1371/journal.pone.0005429,7,563,0.163416341,434,1.842433217,570,10,428
434,10.1002/asi.20903,9,368,0.163400725,435,1.910786938,474,10,428
435,10.1016/j.joi.2011.03.001,6,723.5,0.163365602,436,1.909998672,476,6,987.5
436,10.1007/s11192-011-0355-4,4,1339.5,0.163352266,437,1.764781506,727,5,1268.5
437,10.1002/(SICI)1097-4571(199401)45:1<39::AID-ASI5>3.0.CO;2-Q,14,168.5,0.163305521,438,2.439283979,163,15,215
438,10.1016/j.joi.2015.05.002,5,955.5,0.163290128,439,1.95523052,415,6,987.5
439,10.1007/s11192-010-0255-z,9,368,0.163266271,440,2.132210491,292,12,313
440,10.1108/AJIM-11-2013-0127,4,1339.5,0.163264096,441,1.695635444,909,6,987.5
441,10.1007/s11192-011-0561-0,12,230.5,0.163252592,442,2.541067207,139,13,273
442,10.1002/asi.20614,11,268,0.163225994,443,2.137100881,285,11,366
443,10.1023/A:1016046819457,7,563,0.163225576,444,1.68489503,957,10,428
444,10.1016/j.respol.2005.01.014,9,368,0.163202673,445,1.801292385,661,12,313
445,10.1016/j.joi.2016.07.009,6,723.5,0.163201883,446,1.652219,1075,9,507.5
446,10.1002/asi.22990,9,368,0.163169637,447,1.898211208,490,10,428
447,10.1080/15427951.2004.10129088,7,563,0.163169041,448,1.980488174,390,8,625
448,10.1016/j.joi.2010.03.008,11,268,0.163166359,449,2.65267707,113,12,313
449,10.1177/016555158801400208,9,368,0.163142532,450,1.926934251,451,10,428
450,10.1016/j.joi.2010.12.002,12,230.5,0.16310367,451,2.398870559,170,12,313
451,10.1016/j.joi.2018.12.003,3,1999.5,0.163102269,452,1.491154342,2364,6,987.5
452,10.1002/asi.23487,10,310,0.163077921,453,2.001644983,378,13,273
453,10.1007/s11192-013-1221-3,5,955.5,0.163047612,454,1.712891277,850,8,625
454,10.1126/science.275.5301.793,9,368,0.16303806,455,2.043777534,343,12,313
455,10.1002/asi.22752,4,1339.5,0.163003236,456,2.096854248,315,4,1732.5
456,10.1023/A:1012794810883,1,8726.5,0.162995398,457,1.48249805,2497.5,3,2518
457,10.1023/A:1010933404324,7,563,0.162989616,458,1.746270282,772,7,786
458,10.1002/asi.20973,2,3319,0.162982419,459,1.929922324,448,2,4105.5
459,10.1126/science.aao0185,21,69,0.162971035,460,2.228112786,230,25,72.5
460,10.1016/j.joi.2014.09.005,20,77.5,0.162914321,461,2.710038962,100,20,122
461,10.1002/asi.23151,4,1339.5,0.162908778,462,1.650833455,1077,5,1268.5
462,10.1016/j.physrep.2009.11.002,7,563,0.162872285,463,1.806892517,647,8,625
463,10.1002/andp.200710252,3,1999.5,0.162828863,464,1.695254623,910,3,2518
464,10.1051/epn/2009704,2,3319,0.162827417,465,1.673219732,1002,2,4105.5
465,10.1177/016224399201700106,12,230.5,0.162821621,466,2.03516681,350,14,241.5
466,10.1093/reseval/rvu002,8,449,0.162817404,467,1.869876801,526,8,625
467,10.1126/science.1158357,18,98.5,0.162815675,468,2.391703452,174,20,122
468,10.1007/s11192-019-03074-3,3,1999.5,0.162805542,469,1.531768742,1862,6,987.5
469,10.5860/0710236,9,368,0.162736997,470,1.947086252,424,10,428
470,10.1177/0001839216665364,8,449,0.162721395,471,1.624913521,1178,12,313
471,10.1002/asi.23966,5,955.5,0.162704766,472,1.537618452,1800,11,366
472,10.1108/00220411211200310,8,449,0.162692338,473,2.170034495,259,9,507.5
473,10.2307/2089193,10,310,0.162691921,474,1.997528782,381,11,366
474,10.1214/aoms/1177729694,5,955.5,0.162673727,475,1.695161154,911,6,987.5
475,10.1007/s11192-007-1793-x,2,3319,0.162672296,476,1.479646611,2547,4,1732.5
476,10.1007/BF02458401,9,368,0.162639335,477,2.179359673,253,9,507.5
477,10.1016/j.joi.2011.02.001,6,723.5,0.162608922,478,1.895764834,495,7,786
478,10.1002/asi.23056,9,368,0.162607953,479,1.917330084,464,10,428
479,10.1007/s11192-016-1930-5,3,1999.5,0.162599027,480,1.675163979,996,5,1268.5
480,10.1371/journal.pone.0049156,4,1339.5,0.16259706,481,1.594407394,1329,6,987.5
481,10.1016/j.joi.2018.03.007,5,955.5,0.162552848,482,1.662077089,1039,6,987.5
482,10.1016/j.joi.2012.08.002,4,1339.5,0.162539035,483,2.017854441,369,6,987.5
483,10.1016/j.joi.2008.04.003,4,1339.5,0.162526891,484,1.787582768,685,5,1268.5
484,10.1007/BF02017156,6,723.5,0.162512273,485,1.757517059,746,9,507.5
485,10.1016/j.joi.2010.08.002,6,723.5,0.162503481,486,1.911379488,472,8,625
486,10.1086/225469,10,310,0.16247128,487,1.913146514,470,11,366
487,10.1002/asi.23236,7,563,0.162470579,488,1.828373758,595,9,507.5
488,10.1007/s11192-016-2033-z,4,1339.5,0.1624493,489,1.597927026,1313,6,987.5
489,10.1016/j.joi.2016.01.011,10,310,0.162443936,490,2.163121522,266,11,366
490,10.1523/JNEUROSCI.0002-08.2008,6,723.5,0.162439555,491,1.810060262,636,9,507.5
491,10.1103/PhysRevE.71.036118,4,1339.5,0.16243726,492,1.589161742,1363,6,987.5
492,10.1002/asi.23369,5,955.5,0.162437037,493,1.793632335,671,7,786
493,10.1007/s11192-012-0697-6,14,168.5,0.162434042,494,2.303785059,202,16,190
494,10.1016/j.joi.2007.01.003,4,1339.5,0.162431672,495,1.696674512,905,4,1732.5
495,10.1016/j.respol.2008.11.011,12,230.5,0.162421986,496,1.954525216,418,15,215
496,10.1016/j.joi.2014.01.006,3,1999.5,0.162399203,497,1.614434923,1227,3,2518
497,10.1371/journal.pone.0011344,4,1339.5,0.162398458,498,1.730057494,814,4,1732.5
498,10.1016/j.joi.2018.01.010,4,1339.5,0.162392333,499,1.563181371,1565,7,786
499,10.1103/RevModPhys.74.47,9,368,0.162354186,500,1.814840326,623,12,313
500,10.1007/s11192-006-0115-z,11,268,0.162349075,501,2.04947119,338,11,366
501,10.1002/asi.21164,5,955.5,0.162301406,502,1.697890593,899,7,786
502,10.1016/j.joi.2010.04.003,11,268,0.162283257,503,1.938080254,436,15,215
503,10.1073/pnas.1719557115,4,1339.5,0.162270769,504,1.616153131,1221,6,987.5
504,10.1016/j.physrep.2017.10.001,17,111.5,0.16225265,505,2.298357488,203,21,108
505,10.1016/j.joi.2017.11.001,3,1999.5,0.162235767,506,1.527805189,1904,7,786
506,10.1016/j.joi.2017.03.003,7,563,0.162217572,507,1.69746843,901,10,428
507,10.1016/j.joi.2018.06.004,5,955.5,0.162211284,508,1.684872103,958,7,786
508,10.1038/490335a,9,368,0.16218996,509,1.825605161,606,9,507.5
509,10.1007/s11192-005-0248-5,9,368,0.162176684,510,2.081954154,322,11,366
510,10.1016/j.joi.2006.09.004,3,1999.5,0.162157223,511,1.634111054,1150,4,1732.5
511,10.2307/2094424,6,723.5,0.162156343,512,1.641644686,1114,9,507.5
512,10.1002/asi.21309,9,368,0.162148818,513,1.938416501,435,11,366
513,10.1007/978-3-642-24820-7_32,1,8726.5,0.162141889,514.5,1.482735886,2491.5,3,2518
514,10.1007/s11192-009-0058-2,1,8726.5,0.162141889,514.5,1.482735886,2491.5,3,2518
515,10.1002/aris.2007.1440410120,6,723.5,0.162132904,516,1.911231507,473,7,786
516,10.1002/asi.21128,14,168.5,0.162101418,517,2.483907137,153,17,167
517,10.3389/fncom.2011.00048,5,955.5,0.162079871,518,1.842531573,569,6,987.5
518,10.1002/asi.21335,9,368,0.162053719,519,1.806857323,648,11,366
519,10.1029/2010GL044830,2,3319,0.162051335,520,1.486968931,2432,3,2518
520,10.1016/j.joi.2015.08.006,3,1999.5,0.162045941,521,1.603760145,1283,5,1268.5
521,10.1002/asi.1118,4,1339.5,0.162043378,522,1.778326407,704,4,1732.5
522,10.1016/j.patrec.2014.06.003,1,8726.5,0.162036344,523.5,1.68503858,952.5,1,9216
523,10.1016/j.patcog.2005.05.002,1,8726.5,0.162036344,523.5,1.68503858,952.5,1,9216
524,10.1016/j.joi.2012.12.003,7,563,0.162027225,525,2.032804227,355,7,786
525,10.1002/asi.5090110105,3,1999.5,0.162016213,526,1.486471312,2439,7,786
526,10.1007/s11192-011-0369-y,11,268,0.162006557,527,1.842910463,568,15,215
527,10.1016/j.respol.2004.01.008,15,142.5,0.162004486,528,2.289883869,205,20,122
528,10.1016/j.joi.2011.09.008,6,723.5,0.161983192,529,1.744380975,778,6,987.5
529,10.1002/asi.21611,9,368,0.161968991,530,2.35237201,187,11,366
530,10.1038/srep00181,5,955.5,0.161937267,531,1.611716552,1244,7,786
531,10.1007/s11192-012-0667-z,4,1339.5,0.16192691,532,1.597983422,1311.5,6,987.5
532,10.1002/(SICI)1097-4571(19980501)49:6<530::AID-ASI5>3.0.CO;2-8,4,1339.5,0.16190958,533,1.741982614,789,6,987.5
533,10.1186/1741-7015-10-124,3,1999.5,0.161890581,534,1.893081779,499,4,1732.5
534,10.1007/s11192-017-2306-1,4,1339.5,0.161859721,535,1.606762367,1271,6,987.5
535,10.1103/PhysRevE.82.026112,3,1999.5,0.161858246,536,1.584133373,1400,5,1268.5
536,10.1016/j.respol.2014.02.005,12,230.5,0.161849424,537,1.899204744,487,17,167
537,10.1007/s11192-005-0205-3,6,723.5,0.161848903,538,1.798744015,667,6,987.5
538,10.2307/1924594,2,3319,0.161824763,539,1.621327123,1198,2,4105.5
539,10.1016/j.joi.2013.12.001,5,955.5,0.16181913,540,1.659550547,1045,9,507.5
540,10.1002/asi.20744,8,449,0.161814854,541,1.879838106,514,8,625
541,10.1007/s11192-008-1778-4,6,723.5,0.16178669,542,1.747094621,770,9,507.5
542,10.1038/550029a,5,955.5,0.161778361,543,1.573003075,1490,9,507.5
543,10.1002/asi.20845,9,368,0.161763206,544,2.211258099,246,10,428
544,10.1016/j.respol.2012.03.010,1,8726.5,0.161723226,545,1.407247349,4576.5,4,1732.5
545,10.1016/j.joi.2010.09.002,11,268,0.16172041,546,2.236092272,224,12,313
546,10.1007/s11192-014-1499-9,7,563,0.161715999,547,1.885611645,506,8,625
547,10.1140/epjds/s13688-014-0009-x,10,310,0.161710337,548,2.149123084,274,11,366
548,10.1007/s11192-005-0217-z,4,1339.5,0.16168347,549,1.693251951,917,7,786
549,10.1016/j.joi.2013.12.005,3,1999.5,0.161645666,550,1.729572035,816,4,1732.5
550,10.1002/asi.21226,9,368,0.1616344,551,1.865381098,536,12,313
551,10.1057/palgrave.jors.2602428,7,563,0.161631435,552,1.865044598,537,8,625
552,10.1016/j.joi.2018.01.002,11,268,0.161599949,553,1.867349117,533,13,273
553,10.1016/j.joi.2010.01.001,6,723.5,0.16159372,554,1.866502204,535,8,625
554,10.1016/j.cam.2014.02.018,1,8726.5,0.161562905,555,1.4070531,4611,4,1732.5
555,10.1007/s11192-007-1997-0,5,955.5,0.16153872,556,1.640221996,1118,5,1268.5
556,10.1371/journal.pone.0013327,5,955.5,0.161516517,557,1.636272029,1136,7,786
557,10.1371/journal.pone.0004791,5,955.5,0.161459699,558,1.641677068,1113,5,1268.5
558,10.1016/j.joi.2009.05.005,6,723.5,0.161457434,559,1.782109942,693,7,786
559,10.1016/S0048-7333(99)00030-X,6,723.5,0.16145578,560,1.788684589,681,10,428
560,10.1007/s11192-019-03257-y,1,8726.5,0.161443561,561,1.584658732,1395,2,4105.5
561,10.1016/j.joi.2007.07.004,7,563,0.161409244,562,1.844234725,566,8,625
562,10.1140/epjb/e2013-40829-0,7,563,0.161400571,563,1.914275167,468,8,625
563,10.1016/j.joi.2011.05.003,7,563,0.161386713,564,1.781679236,696,7,786
564,10.1126/sciadv.1601315,6,723.5,0.161373734,565,1.568796868,1525,11,366
565,10.1214/07-AOAS114,7,563,0.161356762,566,1.831096864,586,7,786
566,10.1002/asi.20856,4,1339.5,0.161354259,567,1.859486462,546,4,1732.5
567,10.1007/s11192-012-0902-7,3,1999.5,0.161349759,568,1.792299352,675,4,1732.5
568,10.1016/j.joi.2011.06.005,6,723.5,0.161336765,569,1.684656869,959,9,507.5
569,10.1007/s00005-008-0024-5,8,449,0.16133213,570,2.042449472,347,8,625
570,10.1002/asi.20105,5,955.5,0.161332071,571,1.779732036,703,7,786
571,10.1002/asi.23179,8,449,0.161320344,572,1.974333077,397,9,507.5
572,10.1002/asi.20317,18,98.5,0.161267892,573,2.675191532,104,20,122
573,10.1016/j.joi.2008.05.001,5,955.5,0.16126135,574,1.983402213,388,5,1268.5
574,10.1087/095315103322421982,4,1339.5,0.161213279,575,1.882079524,510,5,1268.5
575,10.1214/aoms/1177730491,5,955.5,0.161202341,576,1.644737779,1099,5,1268.5
576,10.1088/1367-2630/10/4/040201,6,723.5,0.161200464,577,1.946797848,425,6,987.5
577,10.1016/j.respol.2012.03.015,11,268,0.161193743,578,2.01921903,368,13,273
578,10.1016/j.joi.2013.01.013,9,368,0.161168188,579,1.935962474,440,10,428
579,10.1002/asi.20591,6,723.5,0.16116412,580,1.641234419,1117,10,428
580,10.1371/journal.pone.0051332,9,368,0.16115886,581,1.851399872,556,11,366
581,10.1002/asi.23412,6,723.5,0.16114217,582,1.644280878,1102,11,366
582,10.2307/1911191,5,955.5,0.161102578,583,1.698213747,898,5,1268.5
583,10.1371/journal.pone.0043235,2,3319,0.161090299,584,1.468912288,2748,4,1732.5
584,10.1016/S0008-6363(96)00215-5,3,1999.5,0.161090165,585,1.696794118,904,4,1732.5
585,10.1016/j.joi.2017.10.002,4,1339.5,0.161086932,586,1.711710446,856,4,1732.5
586,10.1023/B:SCIE.0000027677.79173.b8,5,955.5,0.161084935,587,1.648246211,1083,6,987.5
587,10.1007/BF02017338,16,125.5,0.161083773,588,2.95773211,69,16,190
588,10.1080/09737766.2009.10700871,4,1339.5,0.161071017,589,1.737743202,800,4,1732.5
589,10.1007/s11192-017-2349-3,2,3319,0.161059111,590,1.544436947,1729,3,2518
590,10.1007/s11192-007-1869-7,4,1339.5,0.161058605,591,1.599256706,1306,6,987.5
591,10.1371/journal.pone.0166149,6,723.5,0.161046878,592,1.748682751,766,9,507.5
